Date,close,rsi_14,rsi_divergence,macd,macd_signal,macd_hist,bb_percent,bb_width,ema_10,ema_20,ema_50,price_ema50_ratio,sma_cross,atr_14,atr_ratio,obv,stoch_k,stoch_d,stoch_cross,return_1d,return_3d,return_5d,volume_ratio,volume_change,volume_direction,hl_range_pct,gap_open_pct,roll_vol_5d,roll_vol_10d,dist_52w_high,dist_52w_low,day_of_week,sector,sector_enc,earnings_day,days_to_earnings,rsi_x_return,rsi_x_volume,macd_x_volume,atr_x_vix,bb_x_volume,trend_strength,momentum_score,vol_breakout,sector_rel_return,classification_label,regression_label,signal,ticker,vix,dxy,tnx_10y,sp500,oil,gold,btc,sp500_return,yield_spread
2010-01-25,37.00593566894531,65.49091382369146,0,-0.0380025550363356,0.049473286416167,-0.0874758414525027,,,37.62297854598542,37.68619924613834,37.67531914066775,0.9822328387127084,0.0,0.5642362935180848,0.0152471835482214,-30972100.0,5.281702005809983,,0,-0.0026489081697098,-0.0277635407669705,-0.0330703657292357,,-0.3216489140960021,-0.0,1.0293855829269791,0.5133861782017016,0.006539390249425,0.0097768753429036,,,0,Staples,4,0,,-0.1734794166693408,,0.0,,,0.0,,0,-0.0042106197260472,0,0.0003316192627393,neutral,PEP,25.40999984741211,78.19000244140625,3.630000114440918,1096.780029296875,75.26000213623047,1095.199951171875,457.3340148925781,0.0045980980127011,0.1659000078837076
2010-01-26,0.3715269267559051,45.31749797761949,0,-0.0114650786091914,-0.0072097823396662,-0.0042552962695252,,,0.3920953011618583,0.4027333094270637,0.4135654087566764,0.8983510682695783,0.0,0.0138005025273338,0.0371453629157834,-2715608000.0,0.3676638412458152,6.276291345981341,0,-0.0316605473431198,-0.049267017291975,-0.0699942206497297,,0.1102417986688955,-0.0,3.5163503514578074,-0.4778849361272968,0.021491605983724,0.0218644029546227,,,1,Tech,5,0,,-1.4347767901921598,,0.0,,,0.0,,0,-0.0299337567069621,1,0.0271438970831536,bullish,NVDA,24.549999237060547,78.43000030517578,3.630000114440918,1092.1700439453125,74.70999908447266,1097.9000244140625,457.3340148925781,-0.0042031995736809,0.1659000078837076
2010-01-27,71.36000061035156,67.74203735670525,0,0.9783658478964696,0.5763735651443741,0.4019922827520955,,,68.83360590598096,67.90803444786201,67.02184589095882,1.0647274729862066,0.0,1.74914926929329,0.024511620716544,28347700.0,76.23421455331248,53.73132323730456,1,0.0494117736816406,0.017974353261871,0.0264672620272439,,2.7994994172605514,0.0,4.722526749388291,7.764704087201286,0.0388617803479127,0.0303110701650962,,,2,Financial,2,0,,3.3472542186027647,,0.0,,,0.0,,0,0.0150045313381698,1,0.0334921436267721,bullish,BRK-B,23.13999938964844,78.68000030517578,3.6440000534057617,1097.5,73.66999816894531,1084.4000244140625,457.3340148925781,0.0048801522109449,0.1659000078837076
2010-01-28,5.971326351165772,39.68160832183834,0,-0.0786427606228477,-0.0557911617144958,-0.0228515989083518,,,6.165129296293671,6.234885244955057,6.318483550122407,0.9450568801512652,0.0,0.1709030180109527,0.0286206125675223,652274000.0,11.582293869777796,39.20611175698039,-1,-0.0413222438217092,-0.0186145991628571,-0.0421973694113299,,-0.318748445635018,-0.0,3.4121107864755,-1.4191108127425216,0.0353079346777269,0.029415236299117,,,3,Tech,5,0,,-1.63973309431257,,0.0,,,0.0,,0,-0.0146843155519159,0,-0.0362784490567149,bearish,AAPL,23.729999542236328,78.9000015258789,3.6579999923706055,1084.530029296875,73.63999938964844,1083.5999755859375,457.3340148925781,-0.0118177409595672,0.1659000078837076
2010-01-29,0.3527329564094543,38.626062992635205,0,-0.0146955699930005,-0.0101624183553165,-0.004533151637684,,,0.3801936333189071,0.3933987323921602,0.4083355476478961,0.863831127221901,0.0,0.0156414817376716,0.0443436924547389,-3365568000.0,6.703920196817847,12.300303164953688,0,-0.0435054073453782,-0.0505857556827866,-0.0650060251328696,,0.1264038245677297,-0.0,8.447043036489033,1.118690247156965,0.0327193683649426,0.0261621465762406,,,4,Tech,5,0,,-1.6804426046428336,,0.0,,,0.0,,0,-0.0131221013846731,1,0.0766731042230177,bullish,NVDA,24.6200008392334,79.45999908447266,3.608999967575073,1073.8699951171875,72.88999938964844,1083.0,457.3340148925781,-0.0098291738280392,0.1659000078837076
2010-02-01,38.67573165893555,64.75578832484561,0,0.1380736212179414,0.0390371837447791,0.0990364374731622,1.033969560981536,0.0398504256457417,38.13015924622632,37.982259779092615,37.89322916969496,1.0206501928282847,0.0,0.6173891257641096,0.0159632177410008,56462900.0,67.72601813537949,65.3049110725655,1,0.0071483554957849,0.0194043148428209,0.0224309114132839,0.9658942740078952,-0.243685218929988,0.0,1.1776146752181411,0.4873730665924908,0.0063921523166314,0.0093511082094186,,,0,Staples,4,0,,0.4628973953557979,62.54724515183569,0.0,,0.9987052784505228,0.0,,0,-0.0020716559083078,1,0.0146801174243691,neutral,PG,22.59000015258789,79.23999786376953,3.6540000438690186,1089.18994140625,74.43000030517578,1104.300048828125,457.3340148925781,0.0142661088946718,0.1659000078837076
2010-02-02,38.85924530029297,46.847837572399015,0,-0.8208478437476927,-0.5955020798776839,-0.2253457638700088,0.275033355364241,0.1538132673960528,39.00015139216763,39.735615031979485,40.534543763254646,0.958669857671363,0.0,0.7334854583196992,0.0188754427074313,-76457400.0,31.177634404575272,18.724539663776778,0,0.0118236761772647,0.0165208418985427,0.0040455670116708,1.1677507566984495,0.0946104747009342,0.0,2.122232230785876,0.217432878732398,0.014580114399629,0.0144867222704462,,,1,Energy,1,0,,0.5539136610611434,54.70659777485501,-0.0,,0.3211704088439061,0.0,,0,0.0,0,-0.0166552171170342,bearish,CVX,21.479999542236328,79.01000213623047,3.634999990463257,1103.3199462890625,77.2300033569336,1117.4000244140625,457.3340148925781,0.0129729483771849,0.1659000078837076
2010-02-03,37.65719223022461,68.39398746685346,0,-0.1174039752372166,-0.1123490227648877,-0.0050549524723289,0.5625664814614849,0.0579725781476833,37.33629373804432,37.43390462889168,37.547579352293305,1.0029193061129948,0.0,0.5776919760959554,0.0153408138494267,-18774700.0,57.1056016387568,50.70216810690723,0,0.002289253999874,0.0280108707729935,0.0165867174650722,0.6686360470863871,-0.2276906951260183,0.0,1.370533757611811,-0.3761484641176416,0.0101979405579381,0.0095372201885144,,,2,Staples,4,0,,0.156571209375827,45.7306854243128,-0.0,,0.3761522283877045,0.0,,0,0.0039412343173471,0,-0.0269212500051916,neutral,PEP,21.600000381469727,79.37000274658203,3.703000068664551,1097.280029296875,76.9800033569336,1111.4000244140625,457.3340148925781,-0.0054743114293386,0.1659000078837076
2010-02-04,0.3644219636917114,44.770306011975904,-1,-0.0122470969684357,-0.0115283957131028,-0.0007187012553328,0.1664434840688944,0.203357795013335,0.3787034644270813,0.3883587314767134,0.4039191795000084,0.9022150523845176,0.0,0.0165663152159429,0.0454591568744123,-1787108000.0,29.88052721244363,50.35242995700094,-1,-0.0580570355936318,-0.0404344641448272,-0.0118087029240282,1.1300823632551011,0.3933586580733279,-0.0,6.352198065555663,-0.8886461818356176,0.052817501700831,0.0410242368712952,,,3,Tech,5,0,,-2.599231249675075,50.59413322166779,0.0,,0.1880948458249889,0.0,,0,-0.0211446299838844,1,0.0201257412103985,bullish,NVDA,26.07999992370605,79.91999816894531,3.609999895095825,1063.1099853515625,73.13999938964844,1062.4000244140625,457.3340148925781,-0.0311406778880394,0.1659000078837076
2010-02-05,38.93665313720703,29.27372948901055,-1,-0.2587244520766276,-0.1975368310188214,-0.0611876210578062,0.1506158436278839,0.0550979529592089,39.34923402698812,39.57298291463603,39.86060079506446,0.9768205285563124,0.0,0.6146219961832706,0.0157851778892611,-3408100.0,18.472881319948776,22.511372794699827,0,0.0,-0.0210972657404231,-0.0034999990237101,1.2469314887143823,-0.0881556775561233,0.0,2.72988362250087,0.0798199833137486,0.0110595287893691,0.0099380147151387,,,4,Healthcare,3,0,,0.0,36.502335091954045,-0.0,,0.1878076381188899,0.0,,0,0.0025026224347609,0,-0.0043104689816116,neutral,JNJ,26.11000061035156,80.44000244140625,3.5460000038146973,1066.18994140625,71.19000244140625,1052.199951171875,457.3340148925781,0.0028971189219608,0.1659000078837076
